name,email,password,role
"Admin User","admin@herobeans.com","$2a$10$yY8lil3XdtU2SAnY14UUvuFVwnXWM/WY83G8aHRDfDANbQDGokNXq","ADMIN"
"Alice Johnson","user1@example.com","$2a$10$yY8lil3XdtU2SAnY14UUvuFVwnXWM/WY83G8aHRDfDANbQDGokNXq","USER"
"Bob Williams","user2@example.com","$2a$10$yY8lil3XdtU2SAnY14UUvuFVwnXWM/WY83G8aHRDfDANbQDGokNXq","USER"
"Charlie Brown","user3@example.com","$2a$10$yY8lil3XdtU2SAnY14UUvuFVwnXWM/WY83G8aHRDfDANbQDGokNXq","USER"
"Diana Miller","user4@example.com","$2a$10$yY8lil3XdtU2SAnY14UUvuFVwnXWM/WY83G8aHRDfDANbQDGokNXq","USER"
"Ethan Davis","user5@example.com","$2a$10$yY8lil3XdtU2SAnY14UUvuFVwnXWM/WY83G8aHRDfDANbQDGokNXq","USER"
"Fiona Garcia","user6@example.com","$2a$10$yY8lil3XdtU2SAnY14UUvuFVwnXWM/WY83G8aHRDfDANbQDGokNXq","USER"
"George Rodriguez","user7@example.com","$2a$10$yY8lil3XdtU2SAnY14UUvuFVwnXWM/WY83G8aHRDfDANbQDGokNXq","USER"
"Hannah Wilson","user8@example.com","$2a$10$yY8lil3XdtU2SAnY14UUvuFVwnXWM/WY83G8aHRDfDANbQDGokNXq","USER"
"Ian Martinez","user9@example.com","$2a$10$yY8lil3XdtU2SAnY14UUvuFVwnXWM/WY83G8aHRDfDANbQDGokNXq","USER"
"Jane Anderson","user10@example.com","$2a$10$yY8lil3XdtU2SAnY14UUvuFVwnXWM/WY83G8aHRDfDANbQDGokNXq","USER"
"Kevin Taylor","user11@example.com","$2a$10$yY8lil3XdtU2SAnY14UUvuFVwnXWM/WY83G8aHRDfDANbQDGokNXq","USER"
"Laura Thomas","user12@example.com","$2a$10$yY8lil3XdtU2SAnY14UUvuFVwnXWM/WY83G8aHRDfDANbQDGokNXq","USER"
"Michael Hernandez","user13@example.com","$2a$10$yY8lil3XdtU2SAnY14UUvuFVwnXWM/WY83G8aHRDfDANbQDGokNXq","USER"
